Strain Name	Virus Species	GenBank Accession	Sequence Length	Pango Genome Lineage	Collection Date	Host	GenBank Host	Country	Mol Type
UNKNOWN-AB740221	Paslahepevirus balayani	AB740221	7305	-N/A-	2011	Rabbit	Oryctolagus cuniculus breed: Rex rabbit	China	genomic RNA
UNKNOWN-AB740220	Paslahepevirus balayani	AB740220	7300	-N/A-	2011	Rabbit	Oryctolagus cuniculus breed: Rex rabbit	China	genomic RNA
G3-HEV83-2-27	Paslahepevirus balayani	AB740232	7266	-N/A-	-N/A-	Swine	Sus scrofa	Japan	genomic RNA
UNKNOWN-AB740222	Paslahepevirus balayani	AB740222	7307	-N/A-	2011	Rabbit	Oryctolagus cuniculus breed: Rex rabbit	China	genomic RNA
P5_pJE03-1760F_wt	Paslahepevirus balayani	LC126331	7246	-N/A-	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA
P10_pJE03-1760F_wt	Paslahepevirus balayani	LC126332	7246	-N/A-	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA
huJB-0414	Paslahepevirus balayani	LC131066	7238	-N/A-	-N/A-	Unknown	-N/A-	Japan	genomic RNA
ratELOMB-131	Paslahepevirus balayani	LC145325	6984	-N/A-	2012	Rodent	Rattus rattus (wild rat)	Indonesia	genomic RNA
HE-JA16-0578	Paslahepevirus balayani	LC176492	7235	-N/A-	2015	Human	Homo sapiens	Japan	genomic RNA
MNE15-072	Paslahepevirus balayani	LC225387	7212	-N/A-	2015	Human	Homo sapiens	Mongolia	genomic RNA
ratEBali-2016D-047L	Paslahepevirus balayani	LC225388	6988	-N/A-	2015	Rodent	Rattus rattus (wild rat)	Indonesia	genomic RNA
JRC-HE3	Paslahepevirus balayani	AB630971	7238	-N/A-	Aug-03	Human	Homo sapiens	Japan	genomic RNA
KS/11/616	Paslahepevirus balayani	MW795566	6941	-N/A-	Jun-10	Rat	Rattus norvegicus	Hungary	genomic RNA
KS/11/620	Paslahepevirus balayani	MW795567	6940	-N/A-	May-10	Rat	Rattus norvegicus	Hungary	genomic RNA
JE03-1760F	Paslahepevirus balayani	AB437316	7257	-N/A-	2003	Human	Homo sapiens	Japan	genomic RNA
JE03-1760F	Paslahepevirus balayani	AB437317	7258	-N/A-	2003	Human	Homo sapiens	Japan	genomic RNA
JE03-1760F	Paslahepevirus balayani	AB437318	7257	-N/A-	2003	Human	Homo sapiens	Japan	genomic RNA
JE03-1760F	Paslahepevirus balayani	AB437319	6899	-N/A-	2003	Human	Homo sapiens	Japan	genomic RNA
genotype 3	Paslahepevirus balayani	AB443623	7210	-N/A-	2002	Unknown	-N/A-	Japan	genomic RNA
JBOAR135-Shiz09	Paslahepevirus balayani	AB573435	7267	-N/A-	2/1/2009	Swine	Sus scrofa leucomystax	Japan	genomic RNA
JE03-1760F_p13-3	Paslahepevirus balayani	AB425830	7246	-N/A-	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA
genotype 3	Paslahepevirus balayani	AB443624	7210	-N/A-	2002	Unknown	-N/A-	Japan	genomic RNA
